PID,Type,VA Start,RVA,Size
10076,Benign,0x7ffe0000     , 0xd305     , 0x1000
10076,Benign,0x7ffe6000     , 0xe305     , 0x1000
10076,Benign,0xb32886d000   , 0xf305     , 0x3000
10076,Benign,0xb328876000   , 0x12305    , 0x20000
10076,Benign,0xb32889a000   , 0x32305    , 0x2000
10076,Benign,0xb3288a4000   , 0x34305    , 0x4000
10076,Benign,0xb3291e4000   , 0x38305    , 0x1c000
10076,Benign,0xb3299fe000   , 0x54305    , 0x2000
10076,Benign,0xb32a1fd000   , 0x56305    , 0x3000
10076,Benign,0xb32b1fe000   , 0x59305    , 0x2000
10076,Benign,0xb32b9fe000   , 0x5b305    , 0x2000
10076,Benign,0xb32c1fe000   , 0x5d305    , 0x2000
10076,Benign,0xb32c9f5000   , 0x5f305    , 0xb000
10076,Benign,0xb32d1fe000   , 0x6a305    , 0x2000
10076,Benign,0xb32d9f9000   , 0x6c305    , 0x7000
10076,Benign,0xb32e1fc000   , 0x73305    , 0x4000
10076,Benign,0xb32e9fe000   , 0x77305    , 0x2000
10076,Benign,0xb32f1fe000   , 0x79305    , 0x2000
10076,Benign,0xb32f9fc000   , 0x7b305    , 0x4000
10076,Benign,0xb3301fe000   , 0x7f305    , 0x2000
10076,Benign,0xb3309fe000   , 0x81305    , 0x2000
10076,Benign,0xb3311f9000   , 0x83305    , 0x7000
10076,Benign,0xb3319f9000   , 0x8a305    , 0x7000
10076,Benign,0xb3321fc000   , 0x91305    , 0x4000
10076,Benign,0xb3329f9000   , 0x95305    , 0x7000
10076,Benign,0xb3341fc000   , 0x9c305    , 0x4000
10076,Benign,0x27080000000  , 0xa0305    , 0x10000
10076,Benign,0x27080010000  , 0xb0305    , 0x10000
10076,Benign,0x27080020000  , 0xc0305    , 0x10000
10076,Benign,0x270cd040000  , 0xd0305    , 0x10000
10076,Benign,0x270cd050000  , 0xe0305    , 0x3000
10076,Benign,0x270cd060000  , 0xe3305    , 0x1f000
10076,Benign,0x270cd080000  , 0x102305   , 0x4000
10076,Benign,0x270cd090000  , 0x106305   , 0x3000
10076,Benign,0x270cd0a0000  , 0x109305   , 0x2000
10076,Benign,0x270cd0b0000  , 0x10b305   , 0x11000
10076,Benign,0x270cd0d0000  , 0x11c305   , 0x11000
10076,Benign,0x270cd0f0000  , 0x12d305   , 0x3000
10076,Benign,0x270cd100000  , 0x130305   , 0x11000
10076,Benign,0x270cd120000  , 0x141305   , 0x71000
10076,Benign,0x270cd220000  , 0x1b2305   , 0x3000
10076,Benign,0x270cd260000  , 0x1b5305   , 0xce000
10076,Benign,0x270cd330000  , 0x283305   , 0x11000
10076,Benign,0x270cd350000  , 0x294305   , 0x2000
10076,Benign,0x270cd360000  , 0x296305   , 0xf000
10076,Benign,0x270cd370000  , 0x2a5305   , 0x4000
10076,Benign,0x270cd3b0000  , 0x2a9305   , 0x2000
10076,Benign,0x270cd3c0000  , 0x2ab305   , 0x2000
10076,Benign,0x270cd3e0000  , 0x2ad305   , 0x15000
10076,Benign,0x270cd5e0000  , 0x2c2305   , 0x4000
10076,Benign,0x270cd5f0000  , 0x2c6305   , 0x181000
10076,Benign,0x270cd780000  , 0x447305   , 0xbb000
10076,Benign,0x270ceb90000  , 0x502305   , 0x33a000
10076,Benign,0x270ceed0000  , 0x83c305   , 0x3000
10076,Benign,0x270ceee0000  , 0x83f305   , 0xa6000
10076,Benign,0x270cef90000  , 0x8e5305   , 0x26000
10076,Benign,0x270cefc0000  , 0x90b305   , 0x3a000
10076,Benign,0x270cf000000  , 0x945305   , 0x6f000
10076,Benign,0x270cf070000  , 0x9b4305   , 0x1000
10076,Benign,0x270cf080000  , 0x9b5305   , 0x2000
10076,Benign,0x270cf090000  , 0x9b7305   , 0xa39000
10076,Benign,0x270cfad0000  , 0x13f0305  , 0x50a000
10076,Benign,0x270cffe0000  , 0x18fa305  , 0x40000
10076,Benign,0x270d0020000  , 0x193a305  , 0x14000
10076,Benign,0x270d0035000  , 0x194e305  , 0x9000
10076,Benign,0x270d003f000  , 0x1957305  , 0x18000
10076,Benign,0x270d0058000  , 0x196f305  , 0x16000
10076,Benign,0x270d006f000  , 0x1985305  , 0x3000
10076,Benign,0x270d0073000  , 0x1988305  , 0x23000
10076,Benign,0x270d00ae000  , 0x19ab305  , 0x9000
10076,Benign,0x270d00d7000  , 0x19b4305  , 0x1000
10076,Benign,0x270d0120000  , 0x19b5305  , 0x20000
10076,Benign,0x270d0140000  , 0x19d5305  , 0x10000
10076,Benign,0x270d0150000  , 0x19e5305  , 0x10000
10076,Benign,0x270d0160000  , 0x19f5305  , 0x10000
10076,Benign,0x270d1140000  , 0x1a05305  , 0x10000
10076,Benign,0x270d1150000  , 0x1a15305  , 0x10000
10076,Benign,0x270d1160000  , 0x1a25305  , 0x10000
10076,Benign,0x270d5140000  , 0x1a35305  , 0x20000
10076,Benign,0x270d5160000  , 0x1a55305  , 0x98000
10076,Benign,0x270d5560000  , 0x1aed305  , 0x1000
10076,Benign,0x270d5570000  , 0x1aee305  , 0x100000
10076,Benign,0x270d5670000  , 0x1bee305  , 0x20000
