PID,Type,Module Name,Base Address,Size,Endaddress,Timestamp
10076,Benign,C:\Users\User\AppData\Local\MongoDBCompass\app-1.43.0\MongoDBCompass.exe , 0x7ff7cc290000 , 0xac28000 , 0x7ff7d6eb8000 , 0x66208826
10076,Benign,C:\Windows\System32\ntdll.dll                                            , 0x7ffadb550000 , 0x217000  , 0x7ffadb767000 , 0x92b2df34
10076,Benign,C:\Windows\System32\kernel32.dll                                         , 0x7ffada120000 , 0xc4000   , 0x7ffada1e4000 , 0x6b8a5ea3
10076,Benign,C:\Windows\System32\KERNELBASE.dll                                       , 0x7ffad8d00000 , 0x3a7000  , 0x7ffad90a7000 , 0x83efbeab
10076,Benign,C:\Windows\System32\oleaut32.dll                                         , 0x7ffada4f0000 , 0xd7000   , 0x7ffada5c7000 , 0x23dc6a52
10076,Benign,C:\Windows\System32\msvcp_win.dll                                        , 0x7ffad8870000 , 0x9a000   , 0x7ffad890a000 , 0x8e0806c9
10076,Benign,C:\Windows\System32\ucrtbase.dll                                         , 0x7ffad8be0000 , 0x111000  , 0x7ffad8cf1000 , 0x10c46e71
10076,Benign,C:\Windows\System32\combase.dll                                          , 0x7ffad9a60000 , 0x388000  , 0x7ffad9de8000 , 0x317e0d0a
10076,Benign,C:\Windows\System32\rpcrt4.dll                                           , 0x7ffad9890000 , 0x115000  , 0x7ffad99a5000 , 0x10c0df6b
10076,Benign,C:\Windows\System32\ws2_32.dll                                           , 0x7ffada440000 , 0x71000   , 0x7ffada4b1000 , 0xe911ea68
10076,Benign,C:\Windows\System32\crypt32.dll                                          , 0x7ffad8910000 , 0x168000  , 0x7ffad8a78000 , 0x856a1a8c
10076,Benign,C:\Users\User\AppData\Local\MongoDBCompass\app-1.43.0\ffmpeg.dll         , 0x7ffa8f810000 , 0x612000  , 0x7ffa8fe22000 , 0x66208826
10076,Benign,C:\Windows\System32\dbghelp.dll                                          , 0x7ffad3020000 , 0x232000  , 0x7ffad3252000 , 0x0209d29e
10076,Benign,C:\Windows\System32\winmm.dll                                            , 0x7ffacf730000 , 0x34000   , 0x7ffacf764000 , 0x087805f8
10076,Benign,C:\Windows\System32\DWrite.dll                                           , 0x7ffad45c0000 , 0x274000  , 0x7ffad4834000 , 0xa40fc784
10076,Benign,C:\Windows\System32\msvcrt.dll                                           , 0x7ffada7a0000 , 0xa7000   , 0x7ffada847000 , 0x657b2709
10076,Benign,C:\Windows\System32\winspool.drv                                         , 0x7ffabf900000 , 0xa8000   , 0x7ffabf9a8000 , 0xdb9fe3a5
